[112. 946.][407. 973.]
[111. 900.][305. 930.]
[111. 853.][241. 884.]
[1257.  811.][1481.  832.]
[924. 810.][1151.  832.]
[111. 807.][242. 838.]
[781. 808.][797. 836.]
[111. 763.][306. 790.]
[111. 716.][239. 744.]
[780. 713.][797. 746.]
[111. 670.][239. 698.]
[1279.  671.][1484.  695.]
[924. 670.][1153.  694.]
[781. 669.][797. 698.]
[110. 625.][305. 652.]
[ 78. 577.][207. 607.]
[115. 536.][705. 559.]
[110. 488.][337. 517.]
[892. 444.][1152.  467.]
[109. 443.][240. 471.]
[779. 442.][798. 472.]
[111. 397.][273. 424.]
[109. 349.][241. 380.]
[1220.  351.][1482.  374.]
[909. 351.][1152.  374.]
[778. 349.][796. 379.]
[ 77. 304.][236. 331.]
[1202.  260.][1471.  284.]
[876. 259.][1146.  283.]
[757. 256.][823. 290.]
[360. 256.][426. 291.]
[1169.  211.][1484.  241.]
[ 81. 171.][599. 194.]
[648. 127.][913. 151.]
[668.  72.][894.  99.]
[78. 19.][274.  46.]
